"filename", "language", "C++", "CMake", "QML", "Qrc", "XML", "Markdown", "comment", "blank", "total"
"e:\WYH\RailwaySystem\qml\pages\AddUserDialog.qml", "QML", 0, 0, 143, 0, 0, 0, 10, 17, 170
"e:\WYH\RailwaySystem\qml\pages\EditPassengerInfoDialog.qml", "QML", 0, 0, 192, 0, 0, 0, 9, 17, 218
"e:\WYH\RailwaySystem\qml\pages\EditPassingStationDialog.qml", "QML", 0, 0, 187, 0, 0, 0, 19, 28, 234
"e:\WYH\RailwaySystem\qml\pages\EditSeatTemplateDialog.qml", "QML", 0, 0, 428, 0, 0, 0, 15, 49, 492
"e:\WYH\RailwaySystem\qml\pages\Login.qml", "QML", 0, 0, 184, 0, 0, 0, 11, 17, 212
"e:\WYH\RailwaySystem\qml\pages\MyOrders.qml", "QML", 0, 0, 249, 0, 0, 0, 23, 26, 298
"e:\WYH\RailwaySystem\qml\pages\OrderConfirm.qml", "QML", 0, 0, 365, 0, 0, 0, 37, 51, 453
"e:\WYH\RailwaySystem\qml\pages\OrderManagement.qml", "QML", 0, 0, 250, 0, 0, 0, 23, 26, 299
"e:\WYH\RailwaySystem\qml\pages\PassengerInfo.qml", "QML", 0, 0, 265, 0, 0, 0, 19, 26, 310
"e:\WYH\RailwaySystem\qml\pages\PersonalInfoDialog.qml", "QML", 0, 0, 165, 0, 0, 0, 9, 15, 189
"e:\WYH\RailwaySystem\qml\pages\Profile.qml", "QML", 0, 0, 275, 0, 0, 0, 21, 27, 323
"e:\WYH\RailwaySystem\qml\pages\RegisterDialog.qml", "QML", 0, 0, 252, 0, 0, 0, 403, 63, 718
"e:\WYH\RailwaySystem\qml\pages\ResetPasswordDialog.qml", "QML", 0, 0, 124, 0, 0, 0, 9, 15, 148
"e:\WYH\RailwaySystem\qml\pages\StationListDialog.qml", "QML", 0, 0, 104, 0, 0, 0, 7, 20, 131
"e:\WYH\RailwaySystem\qml\pages\SubmitOrderDialog.qml", "QML", 0, 0, 144, 0, 0, 0, 30, 21, 195
"e:\WYH\RailwaySystem\qml\pages\TicketQuery.qml", "QML", 0, 0, 319, 0, 0, 0, 20, 48, 387
"e:\WYH\RailwaySystem\qml\pages\TicketQueryResult.qml", "QML", 0, 0, 444, 0, 0, 0, 70, 52, 566
"e:\WYH\RailwaySystem\qml\pages\Timetable.qml", "QML", 0, 0, 24, 0, 0, 0, 0, 5, 29
"e:\WYH\RailwaySystem\qml\pages\TimetableManagement.qml", "QML", 0, 0, 116, 0, 0, 0, 9, 18, 143
"e:\WYH\RailwaySystem\qml\pages\TrainManagement.qml", "QML", 0, 0, 243, 0, 0, 0, 19, 31, 293
"e:\WYH\RailwaySystem\qml\pages\UserManagement.qml", "QML", 0, 0, 236, 0, 0, 0, 14, 34, 284
"e:\WYH\RailwaySystem\resources\icon\arrow.svg", "XML", 0, 0, 0, 0, 48, 0, 0, 1, 49
"e:\WYH\RailwaySystem\station.cpp", "C++", 37, 0, 0, 0, 0, 0, 0, 11, 48
"e:\WYH\RailwaySystem\station.h", "C++", 22, 0, 0, 0, 0, 0, 0, 6, 28
"e:\WYH\RailwaySystem\stationmanager.cpp", "C++", 66, 0, 0, 0, 0, 0, 0, 12, 78
"e:\WYH\RailwaySystem\stationmanager.h", "C++", 24, 0, 0, 0, 0, 0, 0, 6, 30
"e:\WYH\RailwaySystem\time.cpp", "C++", 83, 0, 0, 0, 0, 0, 0, 18, 101
"e:\WYH\RailwaySystem\time.h", "C++", 28, 0, 0, 0, 0, 0, 0, 6, 34
"e:\WYH\RailwaySystem\timetable.cpp", "C++", 189, 0, 0, 0, 0, 0, 0, 17, 206
"e:\WYH\RailwaySystem\timetable.h", "C++", 28, 0, 0, 0, 0, 0, 9, 6, 43
"e:\WYH\RailwaySystem\tmp.qml", "QML", 0, 0, 212, 0, 0, 0, 30, 41, 283
"e:\WYH\RailwaySystem\train.cpp", "C++", 82, 0, 0, 0, 0, 0, 0, 13, 95
"e:\WYH\RailwaySystem\train.h", "C++", 26, 0, 0, 0, 0, 0, 0, 7, 33
"e:\WYH\RailwaySystem\trainmanager.cpp", "C++", 146, 0, 0, 0, 0, 0, 0, 15, 161
"e:\WYH\RailwaySystem\trainmanager.h", "C++", 27, 0, 0, 0, 0, 0, 2, 8, 37
"e:\WYH\RailwaySystem\user.cpp", "C++", 67, 0, 0, 0, 0, 0, 0, 16, 83
"e:\WYH\RailwaySystem\user.h", "C++", 29, 0, 0, 0, 0, 0, 0, 6, 35
"e:\WYH\RailwaySystem\userprofile.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 13, 62
"e:\WYH\RailwaySystem\userprofile.h", "C++", 26, 0, 0, 0, 0, 0, 0, 6, 32
"Total", "-", 2357, 59, 7642, 66, 48, 18, 1077, 1428, 12695
